Subject,CreditValues 
Civil Service administrator,E
Brewing technologist,v
Medical illustrator,F
Commercial horticulturist,h
Best boy,X
Higher education careers adviser,L
"Scientist, biomedical",o
Warehouse manager,G
Chiropractor,x
Planning and development surveyor,S
"Production assistant, radio",L
Geoscientist,w
Editorial assistant,g
Best boy,b
Research scientist (physical sciences),r
Architect,x
"Psychotherapist, child",x
"Designer, textile",d
"Buyer, retail",k
Quality manager,e
Recruitment consultant,g
Research scientist (physical sciences),w
"Education officer, museum",L
Sales promotion account executive,l
Copy,a
Private music teacher,U
Furniture designer,d
IT consultant,M
Multimedia programmer,I
Purchasing manager,Y
Actor,M
"Engineer, production",S
Curator,p
Psychotherapist,Z
"Doctor, general practice",A
Travel agency manager,T
Primary school teacher,S
"Restaurant manager, fast food",p
Merchant navy officer,Z
Astronomer,b
"Clinical scientist, histocompatibility and immunogenetics",T
Dancer,m
TEFL teacher,L
Careers adviser,p
Recruitment consultant,h
Community development worker,x
"Investment banker, corporate",p
"Designer, blown glass/stained glass",X
"Education officer, museum",J
Financial planner,e
Research scientist (medical),E
Medical illustrator,b
"Psychologist, educational",W
Orthoptist,u
Haematologist,N
"Surveyor, hydrographic",A
"Engineer, communications",k
Financial controller,L
Leisure centre manager,a
Market researcher,O
Medical secretary,i
Petroleum engineer,t
Ergonomist,F
IT trainer,C
"Administrator, education",y
English as a second language teacher,Z
Contracting civil engineer,Y
Environmental consultant,j
Community arts worker,w
Seismic interpreter,D
Automotive engineer,q
"Scientist, forensic",M
"Engineer, communications",c
Multimedia programmer,Q
"Conservation officer, nature",I
Insurance underwriter,H
"Runner, broadcasting/film/video",C
Housing manager/officer,d
Minerals surveyor,k
Trade mark attorney,l
Toxicologist,r
Administrator,n
Risk manager,O
Printmaker,U
Acupuncturist,C
"Geneticist, molecular",r
Politician's assistant,E
"Solicitor, Scotland",D
Print production planner,d
Radio broadcast assistant,W
Waste management officer,X
"Chemist, analytical",q
Oncologist,K
Nutritional therapist,g
"Engineer, maintenance (IT)",E
Garment/textile technologist,t
"Nurse, children's",Q
Consulting civil engineer,V
Purchasing manager,j
Product designer,n
"Restaurant manager, fast food",g
Data processing manager,X
Clinical biochemist,l
Multimedia programmer,h
Control and instrumentation engineer,D
Curator,w
Chartered certified accountant,n
Video editor,B
Higher education careers adviser,Q
"Merchandiser, retail",o
Regulatory affairs officer,e
Make,O
Engineering geologist,B
Passenger transport manager,A
"Optician, dispensing",i
"Sales professional, IT",S
"Therapist, drama",O
Warehouse manager,M
Recruitment consultant,W
Print production planner,R
Animator,Y
Secretary/administrator,W
Adult nurse,g
Research scientist (life sciences),w
Aid worker,J
Senior tax professional/tax inspector,s
Hospital pharmacist,f
Chartered management accountant,w
Food technologist,f
"Geologist, wellsite",F
"Therapist, drama",N
Patent attorney,C
"Producer, television/film/video",w
"Development worker, community",n
Trade mark attorney,c
Legal executive,q
Banker,R
Media planner,z
Museum education officer,T
"Scientist, research (maths)",v
Trade union research officer,b
Community arts worker,b
Therapeutic radiographer,B
Special educational needs teacher,w
Chiropractor,t
Glass blower/designer,i
"Librarian, academic",K
Forensic psychologist,p
Clothing/textile technologist,C
"Restaurant manager, fast food",k
Publishing rights manager,Y
Sports development officer,K
Occupational psychologist,C
Primary school teacher,t
Analytical chemist,o
"Civil engineer, contracting",Y
Technical brewer,M
"Engineer, petroleum",k
Food technologist,X
"Editor, film/video",O
Bonds trader,u
Financial adviser,N
Interior and spatial designer,H
"Accountant, chartered",A
"Surveyor, rural practice",O
Farm manager,N
Air traffic controller,P
"Investment banker, corporate",K
Ecologist,O
Biomedical scientist,D
Structural engineer,D
"Programme researcher, broadcasting/film/video",W
Retail buyer,p
Metallurgist,p
Amenity horticulturist,M
Senior tax professional/tax inspector,A
"Restaurant manager, fast food",I
Set designer,Q
Health visitor,B
"Engineer, aeronautical",L
"Horticulturist, amenity",k
Archaeologist,N
"Engineer, control and instrumentation",F
Electronics engineer,h
Information systems manager,f
"Teacher, primary school",l
Estate manager/land agent,I
Commercial art gallery manager,S
Youth worker,S
Mudlogger,A
"Research officer, political party",K
Police officer,H
"Surveyor, insurance",C
"Psychologist, counselling",V
Community education officer,A
Control and instrumentation engineer,p
Exhibition designer,x
Advertising account executive,n
Meteorologist,S
"Therapist, occupational",W
Public affairs consultant,H
"Presenter, broadcasting",W
Estate agent,U
Sports therapist,G
"Horticulturist, amenity",i
"Conservation officer, historic buildings",y
Amenity horticulturist,P
Publishing copy,n
Clinical research associate,m
IT trainer,C
Homeopath,A
"Pharmacist, hospital",O
Biomedical scientist,f
Land,s
Operations geologist,W
Research scientist (maths),K
"Psychologist, counselling",U
Counselling psychologist,x
Investment analyst,m
Media buyer,K
"Editor, magazine features",v
"Engineer, chemical",f
"Doctor, hospital",s
"Geologist, wellsite",t
Medical physicist,z
Regulatory affairs officer,G
Public affairs consultant,J
Theatre stage manager,r
Arts development officer,D
Landscape architect,I
Tax inspector,v
"Accountant, chartered management",k
"Investment banker, operational",O
Diplomatic Services operational officer,N
Secretary/administrator,S
Equality and diversity officer,R
Heritage manager,G
Editorial assistant,p
Seismic interpreter,b
Clinical molecular geneticist,Z
Sub,M
"Surveyor, rural practice",J
Geophysicist/field seismologist,D
"Journalist, newspaper",T
"Engineer, manufacturing systems",I
Financial planner,X
Industrial/product designer,U
Health service manager,y
Printmaker,Z
"Editor, commissioning",b
"Biochemist, clinical",z
Applications developer,i
Police officer,V
"Education officer, museum",P
Colour technologist,H
English as a second language teacher,k
"Surveyor, quantity",z
Catering manager,J
"Designer, furniture",O
Museum/gallery curator,X
Dancer,S
Child psychotherapist,y
Dancer,L
Energy manager,N
"Copywriter, advertising",u
Pharmacologist,g
Art therapist,M
"Clinical scientist, histocompatibility and immunogenetics",I
Furniture conservator/restorer,n
Amenity horticulturist,O
"Scientist, water quality",L
Physiological scientist,m
"Scientist, marine",P
"Therapist, drama",p
Architectural technologist,n
Health visitor,K
Health visitor,b
Control and instrumentation engineer,b
Dispensing optician,L
"Optician, dispensing",s
"Teacher, primary school",q
Corporate treasurer,v
Water engineer,T
Estate manager/land agent,o
"Sound technician, broadcasting/film/video",p
"Runner, broadcasting/film/video",c
Community development worker,P
Photographer,B
Artist,d
Prison officer,j
Ship broker,N
Government social research officer,k
"Teacher, English as a foreign language",B
"Engineer, building services",b
Animal nutritionist,H
Consulting civil engineer,r
Rural practice surveyor,R
Office manager,M
Make,H
Waste management officer,Z
Civil Service fast streamer,W
Warehouse manager,k
Agricultural engineer,p
Licensed conveyancer,D
Chiropractor,w
Writer,V
Camera operator,F
Industrial buyer,o
Furniture designer,Y
Camera operator,J
"Editor, commissioning",I
Broadcast journalist,Q
Broadcast presenter,E
Primary school teacher,P
"Designer, industrial/product",Q
"Accountant, chartered",w
Midwife,F
Rural practice surveyor,Y
Lobbyist,B
Heritage manager,d
"Horticulturist, amenity",F
Chartered accountant,H
Retail manager,O
Network engineer,i
"Lecturer, further education",U
Hydrographic surveyor,Z
Diagnostic radiographer,j
Quality manager,L
Bookseller,Q
Proofreader,s
Geographical information systems officer,h
Medical laboratory scientific officer,f
Recruitment consultant,B
Chartered legal executive (England and Wales),q
"Surveyor, rural practice",h
Banker,N
Software engineer,l
Animal technologist,a
Pharmacologist,J
Retail buyer,J
Intelligence analyst,F
Site engineer,J
Advertising art director,E
Bookseller,d
"Engineer, production",r
"Conservator, furniture",D
Plant breeder/geneticist,E
"Engineer, electrical",f
Health and safety adviser,a
IT sales professional,o
Transport planner,S
"Engineer, maintenance (IT)",h
Agricultural engineer,A
Phytotherapist,M
Photographer,f
"Teacher, special educational needs",O
Arts development officer,e
"Conservation officer, nature",c
Dietitian,n
Logistics and distribution manager,w
"Education officer, museum",T
Surgeon,o
Manufacturing systems engineer,L
Exercise physiologist,p
"Journalist, newspaper",j
Equities trader,W
"Designer, textile",p
Clinical psychologist,n
"Administrator, arts",y
Waste management officer,Z
Licensed conveyancer,b
Ecologist,c
Homeopath,g
"Designer, blown glass/stained glass",t
Barrister's clerk,V
Accounting technician,d
"Doctor, hospital",p
Airline pilot,x
Museum/gallery conservator,r
Charity fundraiser,S
Banker,d
Risk analyst,j
Aid worker,P
TEFL teacher,c
Set designer,T
Fast food restaurant manager,f
TEFL teacher,m
Ergonomist,Q
Outdoor activities/education manager,C
Clinical molecular geneticist,i
Publishing rights manager,k
"Therapist, occupational",k
Insurance underwriter,k
Housing manager/officer,r
Accommodation manager,V
"Research officer, government",V
Health physicist,t
"Accountant, chartered management",G
"Editor, film/video",x
IT trainer,B
Patent attorney,G
Theatre manager,M
Warehouse manager,J
"Teacher, special educational needs",I
Financial planner,f
Water quality scientist,x
Landscape architect,j
Public relations officer,V
"Psychologist, prison and probation services",T
Financial adviser,G
Call centre manager,C
Charity fundraiser,K
"Nurse, children's",B
"Scientist, biomedical",Z
"Scientist, audiological",B
Writer,d
Cabin crew,O
Wellsite geologist,f
Leisure centre manager,T
Occupational psychologist,g
"Physicist, medical",w
Broadcast presenter,h
General practice doctor,f
Dance movement psychotherapist,H
"Psychologist, counselling",L
Mechanical engineer,C
Web designer,H
Medical sales representative,S
"Merchandiser, retail",l
Corporate treasurer,e
Multimedia specialist,N
"Administrator, sports",q
"Surveyor, mining",p
Aeronautical engineer,u
Personal assistant,Y
"Designer, jewellery",Y
Forensic scientist,E
Bookseller,F
"Engineer, aeronautical",d
Maintenance engineer,s
Aeronautical engineer,P
Research scientist (life sciences),L
Media planner,E
"Administrator, sports",p
Gaffer,g
Forest/woodland manager,l
Education administrator,M
Building services engineer,K
Environmental health practitioner,d
"Therapist, drama",f
"Therapist, horticultural",A
Television production assistant,g
"Journalist, newspaper",m
"Journalist, newspaper",t
Lobbyist,R
Clinical molecular geneticist,G
Hydrogeologist,l
"Psychotherapist, child",O
Warehouse manager,U
Pensions consultant,k
Health promotion specialist,T
"Engineer, water",a
Building services engineer,Y
Adult nurse,O
"Biochemist, clinical",t
Company secretary,t
"Teacher, primary school",E
"Administrator, education",h
"Education officer, environmental",e
"Copywriter, advertising",W
Accommodation manager,b
Architectural technologist,N
Medical secretary,y
Town planner,Y
Chartered certified accountant,H
Claims inspector/assessor,D
Special educational needs teacher,g
"Loss adjuster, chartered",O
"Producer, radio",z
"Designer, fashion/clothing",z
Warehouse manager,v
Agricultural engineer,o
"Therapist, horticultural",u
Warehouse manager,q
Surgeon,w
Quality manager,A
Health promotion specialist,r
Exhibition designer,V
Holiday representative,w
Chartered management accountant,y
Human resources officer,a
"Accountant, chartered certified",A
Stage manager,F
Financial trader,g
Civil Service administrator,z
Financial planner,N
"Embryologist, clinical",C
Fitness centre manager,Z
Oceanographer,c
Phytotherapist,w
"Designer, industrial/product",J
Clinical cytogeneticist,Q
Editorial assistant,Y
Health service manager,g
Geoscientist,x
"Teacher, English as a foreign language",s
"Surveyor, insurance",w
Armed forces training and education officer,m
Horticultural therapist,R
Sub,x
Tree surgeon,A
"Scientist, clinical (histocompatibility and immunogenetics)",b
Exercise physiologist,I
Probation officer,s
Contracting civil engineer,d
"Engineer, communications",a
"Scientist, clinical (histocompatibility and immunogenetics)",h
Brewing technologist,v
"Loss adjuster, chartered",T
Visual merchandiser,J
Microbiologist,Y
Petroleum engineer,o
Dancer,Q
Hydrogeologist,M
Aid worker,G
"Administrator, charities/voluntary organisations",H
Media buyer,Z
Learning disability nurse,H
Speech and language therapist,Z
Call centre manager,c
Sports development officer,Q
Phytotherapist,Q
Medical secretary,j
Audiological scientist,s
"Engineer, production",i
Best boy,n
"Editor, magazine features",l
"Therapist, occupational",L
Equities trader,E
Broadcast presenter,X
"Engineer, automotive",F
Herbalist,k
"Therapist, nutritional",H
Technical author,u
Curator,I
"Surveyor, building",L
Volunteer coordinator,o
Lawyer,a
Hydrologist,D
"Engineer, manufacturing",G
Make,X
Media buyer,y
"Designer, blown glass/stained glass",h
Soil scientist,R
Catering manager,C
Curator,Y
Building services engineer,n
"Engineer, control and instrumentation",M
Accommodation manager,u
Clinical biochemist,c
Chartered legal executive (England and Wales),R
Theatre manager,k
Mining engineer,h
Medical illustrator,q
Financial controller,G
"Designer, fashion/clothing",j
Clinical research associate,E
"Surveyor, insurance",N
Medical sales representative,r
Food technologist,r
Leisure centre manager,F
"Education officer, museum",j
Chartered management accountant,c
Animal technologist,Y
Database administrator,o
Chartered certified accountant,i
Site engineer,c
"Engineer, manufacturing",G
Hospital pharmacist,u
"Loss adjuster, chartered",c
Planning and development surveyor,y
Proofreader,o
Exercise physiologist,Z
Chartered public finance accountant,j
Armed forces technical officer,w
Public affairs consultant,H
Press photographer,v
Personal assistant,F
Geoscientist,l
Advertising art director,a
Architectural technologist,p
Theatre director,I
Chartered loss adjuster,S
Meteorologist,p
Amenity horticulturist,k
Economist,n
Hospital doctor,T
Higher education lecturer,q
Purchasing manager,t
Learning disability nurse,N
Chartered certified accountant,w
Diplomatic Services operational officer,T
"Therapist, occupational",k
"Engineer, energy",Y
Fashion designer,w
"Programmer, multimedia",u
"Exhibitions officer, museum/gallery",Y
Wellsite geologist,G
"Conservation officer, historic buildings",m
Games developer,T
Immunologist,w
"Engineer, land",d
Astronomer,h
Race relations officer,T
Tourism officer,I
"Therapist, music",f
"Conservation officer, nature",p
Health and safety adviser,u
"Horticulturist, amenity",r
Physiological scientist,R
Environmental health practitioner,P
Copy,K
Site engineer,C
Insurance risk surveyor,J
Technical sales engineer,p
Educational psychologist,x
Hospital pharmacist,U
Quarry manager,Y
Tourism officer,H
Speech and language therapist,k
Barrister's clerk,P
Sports therapist,A
Health and safety inspector,V
Nutritional therapist,J
General practice doctor,W
Advertising copywriter,y
General practice doctor,O
Volunteer coordinator,i
Economist,F
Psychiatric nurse,X
Communications engineer,F
Management consultant,B
Colour technologist,a
Sport and exercise psychologist,b
Amenity horticulturist,l
"Geneticist, molecular",X
Financial adviser,k
Land/geomatics surveyor,F
Holiday representative,V
Data processing manager,e
Audiological scientist,y
"Designer, interior/spatial",S
Insurance claims handler,U
Computer games developer,n
Volunteer coordinator,O
Arboriculturist,j
Financial risk analyst,a
Make,O
Human resources officer,I
Actuary,T
Academic librarian,f
Clinical molecular geneticist,e
"Therapist, music",L
"Producer, television/film/video",y
Clinical research associate,x
Quality manager,q
Statistician,G
"Copywriter, advertising",j
Field trials officer,c
Government social research officer,V
"Programmer, applications",b
Medical secretary,o
"Investment banker, corporate",E
Early years teacher,H
Theme park manager,j
Ranger/warden,w
"Designer, fashion/clothing",J
Proofreader,c
"Teacher, secondary school",M
Charity officer,R
Personnel officer,j
Education administrator,y
Press photographer,T
Toxicologist,m
Theatre manager,v
"Psychologist, prison and probation services",A
"Horticulturist, amenity",P
Dealer,m
Solicitor,Y
Clinical cytogeneticist,N
Public affairs consultant,S
Pathologist,u
Tour manager,E
Retail banker,l
Diplomatic Services operational officer,i
Exhibition designer,N
"Surveyor, land/geomatics",P
"Accountant, chartered certified",v
Banker,R
Air broker,z
Dancer,q
Primary school teacher,I
Child psychotherapist,a
"Engineer, maintenance (IT)",d
Warehouse manager,m
"Engineer, broadcasting (operations)",M
Animal nutritionist,B
Special educational needs teacher,q
"Engineer, civil (consulting)",c
Company secretary,P
Oncologist,Q
Warden/ranger,m
"Engineer, agricultural",I
Nutritional therapist,i
"Scientist, water quality",X
Higher education careers adviser,Q
Geoscientist,A
Animal technologist,l
Dramatherapist,u
Politician's assistant,g
Cartographer,m
"Engineer, biomedical",V
Retail merchandiser,X
Product/process development scientist,o
Sales executive,m
Optometrist,N
Private music teacher,G
Interpreter,k
"Administrator, arts",Q
Industrial buyer,k
"Teacher, primary school",x
Public relations officer,B
"Administrator, education",w
Land,T
Database administrator,a
Marketing executive,i
"Scientist, physiological",l
Corporate investment banker,S
Quarry manager,X
Chartered certified accountant,k
English as a foreign language teacher,p
Sports administrator,y
Barrister's clerk,s
Mining engineer,E
"Scientist, water quality",B
Radiation protection practitioner,j
"Lecturer, further education",C
"Loss adjuster, chartered",I
"Therapist, nutritional",M
"Geologist, engineering",e
"Editor, film/video",i
Counselling psychologist,m
Meteorologist,p
"Embryologist, clinical",M
Occupational psychologist,O
Primary school teacher,c
"Conservator, furniture",n
Radio producer,A
"Librarian, public",L
Building control surveyor,C
Retail banker,s
Bonds trader,k
Forensic scientist,Q
Site engineer,g
Insurance broker,v
Warden/ranger,q
"Conservation officer, nature",q
Retail buyer,Y
Osteopath,m
Investment analyst,K
Architectural technologist,H
Oceanographer,r
Land,e
"Administrator, sports",s
Chartered loss adjuster,G
Film/video editor,a
Charity officer,y
"Lighting technician, broadcasting/film/video",x
Ophthalmologist,g
"Surveyor, commercial/residential",v
"Sales professional, IT",C
Lawyer,w
TEFL teacher,u
Air traffic controller,y
Air cabin crew,r
Housing manager/officer,s
Sales promotion account executive,K
Database administrator,A
Building surveyor,c
Fisheries officer,w
Information officer,F
English as a second language teacher,U
Insurance account manager,I
"Scientist, clinical (histocompatibility and immunogenetics)",E
Dispensing optician,O
Geophysical data processor,A
Lobbyist,O
Armed forces technical officer,p
"Secretary, company",I
Social worker,T
Best boy,M
"Designer, exhibition/display",g
Network engineer,I
Quality manager,J
Further education lecturer,p
"Radiographer, diagnostic",b
Ecologist,Y
"Editor, magazine features",S
Nutritional therapist,G
Commercial art gallery manager,j
Firefighter,O
Commercial/residential surveyor,w
Chartered certified accountant,c
Analytical chemist,H
Cabin crew,m
Ambulance person,b
Clinical molecular geneticist,j
"Runner, broadcasting/film/video",e
Film/video editor,K
Publishing rights manager,h
Company secretary,b
Bookseller,m
Careers adviser,a
Building services engineer,Z
Museum/gallery curator,s
Ecologist,U
Electrical engineer,A
Osteopath,h
Administrator,Q
Operational investment banker,Z
Industrial buyer,T
Travel agency manager,N
"Journalist, newspaper",f
Politician's assistant,k
"Surveyor, building control",l
"Administrator, local government",b
Dramatherapist,N
"Engineer, biomedical",E
Chiropodist,I
"Research officer, political party",t
Careers adviser,s
Film/video editor,r
Financial planner,e
Forensic scientist,N
Retail merchandiser,P
Advice worker,R
Tour manager,F
Accommodation manager,c
Financial manager,h
Information systems manager,o
Naval architect,p
Ergonomist,V
"Nurse, mental health",Z
Legal secretary,S
"Loss adjuster, chartered",p
Exhibition designer,S
Futures trader,o
Aeronautical engineer,I
Office manager,S
"Psychotherapist, child",U
Retail banker,O
Environmental health practitioner,K
Customer service manager,B
Art therapist,q
"Psychologist, counselling",k
"Therapist, art",A
Advertising account planner,g
"Surveyor, planning and development",W
Race relations officer,M
Aeronautical engineer,O
Chartered public finance accountant,g
Probation officer,V
"Scientist, research (physical sciences)",W
Newspaper journalist,X
Estate manager/land agent,P
"Optician, dispensing",l
Advertising account planner,n
Lawyer,s
Medical laboratory scientific officer,W
"Nurse, mental health",Q
Environmental consultant,o
"Designer, television/film set",x
"Engineer, maintenance",U
Agricultural consultant,i
Air cabin crew,q
Systems developer,d
Teaching laboratory technician,Z
Furniture conservator/restorer,F
Sports administrator,T
IT trainer,P
Advertising account executive,O
Retail merchandiser,p
"Chemist, analytical",U
Careers adviser,c
Teaching laboratory technician,v
"Conservation officer, historic buildings",C
"Physicist, medical",Y
Industrial buyer,G
"Scientist, audiological",Z
IT sales professional,N
"Editor, film/video",Z
Volunteer coordinator,t
"Engineer, maintenance",k
TEFL teacher,j
"Engineer, materials",H
"Geneticist, molecular",x
"Psychologist, educational",v
"Administrator, sports",N
Electrical engineer,E
"Social research officer, government",M
Health visitor,C
Publishing copy,A
Dietitian,a
Restaurant manager,z
"Lecturer, further education",C
"Engineer, drilling",Q
Equality and diversity officer,b
Public affairs consultant,w
Futures trader,A
Contracting civil engineer,l
"Surveyor, building control",i
Building surveyor,c
Fine artist,k
Administrator,k
Field trials officer,l
Building control surveyor,W
"Accountant, chartered public finance",S
Media buyer,D
Set designer,V
Financial adviser,v
Therapeutic radiographer,W
Diplomatic Services operational officer,O
Veterinary surgeon,h
"Teacher, primary school",r
"Administrator, Civil Service",M
Marine scientist,W
Senior tax professional/tax inspector,L
Warden/ranger,u
Hydrographic surveyor,q
"Education officer, environmental",A
Seismic interpreter,T
Furniture conservator/restorer,c
Ergonomist,T
Television floor manager,F
Fast food restaurant manager,i
"Clinical scientist, histocompatibility and immunogenetics",O
"Surveyor, minerals",y
Community development worker,m
Trade mark attorney,H
Early years teacher,J
Farm manager,w
Merchant navy officer,y
IT sales professional,G
Press sub,w
Retail buyer,y
Site engineer,k
Translator,N
"Surveyor, land/geomatics",w
"Librarian, academic",c
Company secretary,J
Orthoptist,d
Archaeologist,R
Interior and spatial designer,u
Manufacturing systems engineer,h
Firefighter,K
Warehouse manager,R
Fashion designer,X
Regulatory affairs officer,i
"Teacher, adult education",Q
Patent attorney,H
"Psychotherapist, child",F
Counselling psychologist,R
"Scientist, audiological",P
"Accountant, chartered management",J
Advertising copywriter,X
"Sales professional, IT",q
Arts administrator,h
"Scientist, water quality",B
Youth worker,G
"Education officer, museum",p
"Research officer, government",K
Estate agent,S
"Accountant, chartered",E
Dietitian,g
Sports therapist,v
"Research officer, government",u
Wellsite geologist,L
Building services engineer,c
Pension scheme manager,E
Economist,j
Site engineer,O
Architect,j
Primary school teacher,j
Firefighter,f
Ambulance person,K
Veterinary surgeon,T
Community arts worker,i
Printmaker,G
Insurance broker,m
Exhibition designer,L
Patent attorney,A
Financial risk analyst,A
Further education lecturer,U
Human resources officer,N
Tree surgeon,g
Materials engineer,W
Clinical biochemist,M
Animal nutritionist,f
Management consultant,Z
Psychiatric nurse,O
Orthoptist,B
Civil Service administrator,v
"Production assistant, radio",s
Patent attorney,W
Counselling psychologist,B
Furniture conservator/restorer,Y
Illustrator,b
"Psychologist, prison and probation services",e
"Scientist, research (medical)",W
Field trials officer,Z
"Copywriter, advertising",Y
Theme park manager,S
Market researcher,f
"Surveyor, insurance",C
Fast food restaurant manager,L
Personal assistant,A
Optometrist,o
Theatre stage manager,d
"Editor, commissioning",q
Clinical biochemist,p
Media planner,N
Oncologist,C
"Accountant, chartered",d
Paramedic,G
Warehouse manager,P
"Pharmacist, community",E
"Surveyor, insurance",c
Cartographer,X
Chartered certified accountant,Z
Biomedical engineer,U
"Therapist, horticultural",X
"Psychologist, forensic",H
Textile designer,X
"Surveyor, insurance",K
Environmental education officer,V
Tour manager,N
Medical laboratory scientific officer,H
"Education officer, environmental",n
Statistician,t
Advice worker,p
Arboriculturist,k
Dietitian,a
"Accountant, chartered",r
"Merchandiser, retail",U
Exercise physiologist,O
Equities trader,E
Holiday representative,J
Lexicographer,v
Educational psychologist,H
Ergonomist,F
Higher education careers adviser,i
Curator,K
"Therapist, music",Z
Hydrographic surveyor,l
Purchasing manager,m
"Solicitor, Scotland",H
Broadcast presenter,Z
Air cabin crew,Z
Arts administrator,g
Higher education careers adviser,B
Location manager,r
Bookseller,B
Systems analyst,i
Physiological scientist,u
Photographer,c
"Lighting technician, broadcasting/film/video",Q
Firefighter,O
"Scientist, marine",g
Soil scientist,w
Child psychotherapist,y
"Accountant, chartered",z
"Engineer, maintenance (IT)",M
"Engineer, site",h
Food technologist,r
Mining engineer,D
Barrister's clerk,K
Tourist information centre manager,A
Civil Service administrator,L
Quarry manager,i
Farm manager,W
Corporate investment banker,b
Occupational therapist,B
"Psychologist, counselling",J
Public affairs consultant,f
Publishing copy,u
Clinical embryologist,c
"Doctor, hospital",p
Health physicist,b
Camera operator,k
"Surveyor, commercial/residential",b
Set designer,f
IT trainer,n
Advertising account planner,T
"Development worker, international aid",k
Fisheries officer,s
Sports development officer,B
Cabin crew,z
Human resources officer,k
"Programme researcher, broadcasting/film/video",F
Geochemist,G
Firefighter,y
Advertising art director,E
"Engineer, manufacturing systems",K
Secondary school teacher,i
"Psychologist, forensic",C
"Surveyor, quantity",j
"Librarian, public",S
Health visitor,j
Proofreader,V
Newspaper journalist,p
Visual merchandiser,T
IT sales professional,y
"Editor, magazine features",U
"Scientist, physiological",W
"Engineer, chemical",g
"Designer, furniture",l
"Administrator, arts",Z
Building control surveyor,K
Hotel manager,o
Acupuncturist,f
Fine artist,T
"Loss adjuster, chartered",B
"Investment banker, operational",W
Special educational needs teacher,J
Actuary,y
Tourism officer,k
Call centre manager,L
Manufacturing engineer,i
Horticultural consultant,s
"Scientist, research (life sciences)",A
Publishing rights manager,u
Lawyer,H
Engineering geologist,Y
Technical sales engineer,W
"Restaurant manager, fast food",h
"Loss adjuster, chartered",k
Toxicologist,u
Theme park manager,q
Police officer,B
Further education lecturer,u
Camera operator,s
Furniture conservator/restorer,Y
Secondary school teacher,p
"Conservation officer, nature",x
Patent attorney,z
Adult nurse,h
Television floor manager,W
Colour technologist,V
"Investment banker, corporate",F
Homeopath,Z
Osteopath,h
Educational psychologist,w
Speech and language therapist,u
"Engineer, agricultural",U
Investment analyst,z
Environmental education officer,T
Insurance risk surveyor,g
Teaching laboratory technician,Y
Theatre manager,Z
Quarry manager,K
Magazine journalist,T
Translator,D
Automotive engineer,T
Theatre stage manager,l
Clinical biochemist,R
"Engineer, broadcasting (operations)",c
Writer,p
"Optician, dispensing",Z
Energy engineer,k
Hospital doctor,U
"Therapist, speech and language",Z
Social worker,F
Visual merchandiser,H
Theatre stage manager,V
Race relations officer,x
Local government officer,e
"Surveyor, minerals",g
Technical author,m
Furniture designer,n
Dancer,x
"Engineer, production",g
Prison officer,R
"Engineer, civil (contracting)",f
"Lecturer, further education",l
"Scientist, research (physical sciences)",z
"Designer, textile",x
"Psychologist, educational",Y
"Scientist, marine",W
Office manager,O
Information systems manager,j
Medical sales representative,O
"Scientist, research (physical sciences)",v
Geophysicist/field seismologist,M
"Producer, television/film/video",w
Occupational therapist,f
Dietitian,R
"Engineer, manufacturing systems",L
Cabin crew,H
Contracting civil engineer,V
Public relations officer,G
Arboriculturist,T
Advertising copywriter,v
"Restaurant manager, fast food",c
Lawyer,r
Energy manager,x
Tour manager,U
"Scientist, marine",N
Environmental health practitioner,I
Chartered accountant,C
Physiotherapist,k
"Sales professional, IT",C
"Editor, magazine features",v
Garment/textile technologist,z
Lawyer,U
Event organiser,g
Early years teacher,h
Fine artist,z
Haematologist,I
Clinical biochemist,s
Sports coach,b
"Engineer, water",Z
"Pharmacist, community",f
Operational researcher,B
Bookseller,K
Broadcast presenter,A
Insurance account manager,I
Retail banker,l
Accounting technician,e
Set designer,P
"Pilot, airline",u
Animal nutritionist,O
Transport planner,z
Psychiatric nurse,Q
Industrial buyer,u
"Biochemist, clinical",P
Structural engineer,e
Hydrologist,g
"Journalist, magazine",L
Commissioning editor,N
"Psychotherapist, child",A
Scientific laboratory technician,T
"Administrator, sports",S
Legal secretary,M
Legal executive,N
"Administrator, sports",Q
"Engineer, manufacturing",g
Plant breeder/geneticist,a
"Engineer, electrical",b
"Accountant, chartered public finance",Z
"Engineer, manufacturing systems",N
Estate manager/land agent,l
"Engineer, agricultural",l
Lobbyist,A
Historic buildings inspector/conservation officer,b
Local government officer,E
"Doctor, general practice",T
Office manager,q
Passenger transport manager,t
Systems analyst,s
Amenity horticulturist,e
Chartered public finance accountant,u
"Surveyor, building",x
Advertising account planner,E
"Producer, television/film/video",S
Artist,N
Chiropodist,l
Hospital pharmacist,w
Insurance risk surveyor,V
Dancer,O
Forensic psychologist,L
Clothing/textile technologist,V
Wellsite geologist,S
Telecommunications researcher,B
Air traffic controller,k
Adult nurse,s
Food technologist,W
Plant breeder/geneticist,Y
Diagnostic radiographer,u
"Therapist, art",c
"Conservation officer, nature",f
Careers information officer,l
"Engineer, agricultural",C
Radiation protection practitioner,E
Private music teacher,A
Manufacturing systems engineer,f
Building services engineer,R
Financial trader,s
Historic buildings inspector/conservation officer,m
Broadcast journalist,M
Geochemist,J
Medical technical officer,k
"Teacher, English as a foreign language",V
Manufacturing engineer,P
"Engineer, manufacturing systems",R
Location manager,Z
Curator,n
Newspaper journalist,w
"Designer, furniture",j
